condition,seed,tick,collective_phi,joules_per_phi,alive,avg_energy,clustering
FULL,42,0,0.0980,0.104905,12,200.00,12.04
FULL,42,100,0.1023,453.493594,12,167.08,7.88
FULL,42,200,0.1085,1235.060898,12,168.18,7.72
FULL,42,300,0.1090,2290.697689,12,168.42,7.65
FULL,42,400,0.1093,2467.362880,12,168.66,7.71
FULL,42,500,0.1096,2687.922548,12,168.89,7.75
FULL,42,600,0.1098,2955.972868,12,169.12,7.75
FULL,42,700,0.1104,3959.038044,12,169.40,7.42
FULL,42,800,0.1107,4527.987537,12,169.69,7.05
FULL,42,900,0.1106,5039.948271,12,169.98,10.15
FULL,42,1000,0.0981,38.495291,12,138.54,8.32
FULL,42,1100,0.0993,823.951138,12,135.89,8.22
FULL,42,1200,0.0998,2900.200730,12,136.43,8.11
FULL,42,1300,0.1001,3305.875620,12,136.96,8.05
FULL,42,1400,0.1004,3756.027866,12,137.49,8.03
FULL,42,1500,0.1007,4307.614707,12,138.02,8.02
FULL,42,1600,0.1009,4972.048412,12,138.54,8.01
FULL,42,1700,0.1011,5757.804050,12,139.06,8.01
FULL,42,1800,0.1013,6668.900893,12,139.58,8.01
FULL,42,1900,0.1014,7702.984841,12,140.10,8.01
FULL,42,2000,0.1016,8849.606562,12,140.62,8.01
FULL,42,2100,0.1017,10088.983509,12,141.13,8.01
FULL,42,2200,0.1018,11391.610936,12,141.65,8.01
FULL,42,2300,0.1019,12719.173442,12,142.16,8.01
FULL,42,2400,0.1020,14027.169229,12,142.68,8.01
FULL,42,2500,0.1020,15269.319890,12,143.19,8.01
FULL,42,2600,0.1021,16403.181481,12,143.70,8.01
FULL,42,2700,0.1022,17395.683759,12,144.21,8.01
FULL,42,2800,0.1022,18227.072240,12,144.72,8.01
FULL,42,2900,0.1023,18892.186458,12,145.23,8.01
FULL,42,3000,0.1023,19398.971636,12,145.74,8.01
FULL,42,3100,0.1024,19765.040323,12,146.25,8.01
FULL,42,3200,0.1024,20013.517757,12,146.76,8.01
FULL,42,3300,0.1025,20169.253504,12,147.26,8.01
FULL,42,3400,0.1025,20256.015244,12,147.77,8.01
FULL,42,3500,0.1026,20294.806047,12,148.28,8.01
FULL,42,3600,0.1027,20303.138190,12,148.78,8.01
FULL,42,3700,0.1009,123.061084,12,148.80,7.91
FULL,42,3800,0.0990,29.362074,12,148.98,9.16
FULL,42,3900,0.0910,2.705997,12,144.00,9.23
FULL,42,4000,0.0947,2.831437,12,137.72,9.13
FULL,42,4100,0.0949,33.991591,10,133.37,8.93
FULL,42,4200,0.0974,1269.170006,12,133.80,8.95
FULL,42,4300,0.0979,2190.370683,12,134.35,8.96
FULL,42,4400,0.0980,2357.041534,11,134.64,8.97
FULL,42,4500,0.0982,763.341275,12,134.95,8.99
FULL,42,4600,0.0983,658.847382,12,135.13,8.99
FULL,42,4700,0.0988,1145.553730,12,135.58,8.99
FULL,42,4800,0.0992,1225.921304,12,136.03,8.99
FULL,42,4900,0.0994,1188.573287,12,136.46,8.99
FULL,42,5000,0.0989,320.741251,12,136.49,9.01
FULL,42,5100,0.0998,1757.430214,12,136.87,8.98
FULL,42,5200,0.0996,523.633260,12,137.06,9.00
FULL,42,5300,0.0998,737.314397,12,137.17,8.99
FULL,42,5400,0.1001,1429.519503,12,137.60,8.99
FULL,42,5500,0.1001,661.599863,12,137.80,8.98
FULL,42,5600,0.0998,365.484666,12,137.91,8.98
FULL,42,5700,0.0997,307.186103,12,137.99,9.00
FULL,42,5800,0.1003,731.426577,12,138.24,8.98
FULL,42,5900,0.1004,650.178401,12,138.51,8.99
FULL,42,6000,0.1005,1056.805886,12,138.55,8.98
FULL,42,6100,0.1003,538.305477,12,138.64,9.01
FULL,42,6200,0.1004,547.343559,12,138.79,8.98
FULL,42,6300,0.1008,2124.928310,12,139.14,8.98
FULL,42,6400,0.0958,1.942372,12,139.54,9.00
FULL,42,6500,0.1009,908.399134,12,139.96,9.00
FULL,42,6600,0.1011,1194.100903,12,140.36,8.99
FULL,42,6700,0.1012,1599.637574,12,140.73,8.99
FULL,42,6800,0.1012,1333.532916,12,140.99,8.99
FULL,42,6900,0.1008,135.516346,11,140.60,8.98
FULL,42,7000,0.1009,476.136393,12,140.91,9.01
FULL,42,7100,0.1005,247.838751,12,140.92,9.01
FULL,42,7200,0.1013,1626.637587,12,141.21,8.98
FULL,42,7300,0.1011,663.496363,12,141.22,8.99
FULL,42,7400,0.1008,317.194935,12,141.27,9.02
FULL,42,7500,0.1010,436.522303,12,141.53,9.01
FULL,42,7600,0.1013,826.751496,12,141.67,8.99
FULL,42,7700,0.1013,778.154696,12,142.00,9.00
FULL,42,7800,0.1016,2608.130351,12,142.35,8.98
FULL,42,7900,0.1015,1315.436406,12,142.58,8.99
FULL,42,8000,0.1015,919.271536,12,142.74,8.99
FULL,42,8100,0.1012,434.671014,12,143.05,9.00
FULL,42,8200,0.1016,1191.985469,12,143.31,8.98
FULL,42,8300,0.1016,993.417827,12,143.47,8.98
FULL,42,8400,0.1016,953.223621,12,143.73,8.98
FULL,42,8500,0.1013,379.172793,12,143.85,8.99
FULL,42,8600,0.1017,1449.822114,12,144.11,8.99
FULL,42,8700,0.1016,874.986496,12,144.08,8.98
FULL,42,8800,0.1015,593.859162,12,144.29,8.98
FULL,42,8900,0.1018,1234.682887,12,144.60,8.99
FULL,42,9000,0.1014,430.098297,12,144.48,9.01
FULL,42,9100,0.1015,505.593725,12,144.47,9.00
FULL,42,9200,0.1009,219.982219,12,144.59,9.04
FULL,42,9300,0.1014,434.337524,12,144.78,9.01
FULL,42,9400,0.0967,1.983198,12,144.96,8.99
FULL,42,9500,0.1018,7512.179403,11,145.13,8.98
FULL,42,9600,0.1019,2401.565802,12,145.47,8.98
FULL,42,9700,0.1020,2219.470941,12,145.73,8.99
FULL,42,9800,0.1020,2040.732430,12,146.14,8.98
FULL,42,9900,0.1017,502.713749,11,146.13,8.98
FULL,1039,0,0.0968,0.104850,12,200.00,11.97
FULL,1039,100,0.1142,99521.788402,12,199.88,10.82
FULL,1039,200,0.1142,48162.753385,12,199.84,10.85
FULL,1039,300,0.1141,32501.294608,12,199.54,10.86
FULL,1039,400,0.1141,32590.525601,12,199.18,10.88
FULL,1039,500,0.1141,32681.524269,12,198.82,10.90
FULL,1039,600,0.1140,32774.233014,12,198.46,10.93
FULL,1039,700,0.1140,32868.585761,12,198.10,10.95
FULL,1039,800,0.1140,32964.507181,12,197.74,10.99
FULL,1039,900,0.1139,33061.911883,12,197.39,11.03
FULL,1039,1000,0.1038,287.449243,12,165.82,11.76
FULL,1039,1100,0.1046,28022.148797,12,165.72,12.34
FULL,1039,1200,0.1046,89845.127452,12,165.60,12.45
FULL,1039,1300,0.1046,91329.694618,12,165.48,12.83
FULL,1039,1400,0.1046,91620.666143,12,165.36,13.12
FULL,1039,1500,0.1045,91913.904359,12,165.24,13.29
FULL,1039,1600,0.1045,92208.970120,12,165.12,13.38
FULL,1039,1700,0.1045,92505.379617,12,165.00,13.43
FULL,1039,1800,0.1045,92802.601383,12,164.88,13.46
FULL,1039,1900,0.1045,93100.053140,12,164.77,13.47
FULL,1039,2000,0.1045,93397.098668,12,164.65,13.47
FULL,1039,2100,0.1045,93693.044560,12,164.53,13.48
FULL,1039,2200,0.1045,93987.137020,12,164.41,13.48
FULL,1039,2300,0.1044,94278.558652,12,164.29,13.48
FULL,1039,2400,0.1044,94566.425270,12,164.18,13.48
FULL,1039,2500,0.1044,94849.782883,12,164.06,13.48
FULL,1039,2600,0.1044,95127.604738,12,163.94,13.48
FULL,1039,2700,0.1044,95398.788634,12,163.82,13.48
FULL,1039,2800,0.1044,95662.154449,12,163.71,13.48
FULL,1039,2900,0.1044,95916.442035,12,163.59,13.48
FULL,1039,3000,0.1044,96160.309475,12,163.47,13.48
FULL,1039,3100,0.1044,96392.331941,12,163.36,13.48
FULL,1039,3200,0.1043,96611.001011,12,163.24,13.48
FULL,1039,3300,0.1043,96814.724779,12,163.12,13.48
FULL,1039,3400,0.1043,97001.828733,12,163.01,13.48
FULL,1039,3500,0.1043,97170.557509,12,162.89,13.48
FULL,1039,3600,0.1043,97319.077741,12,162.77,13.48
FULL,1039,3700,0.1043,97445.481942,12,162.66,13.48
FULL,1039,3800,0.1043,97547.793744,12,162.54,13.48
FULL,1039,3900,0.1043,97623.974421,12,162.42,13.48
FULL,1039,4000,0.1043,97671.930922,12,162.31,13.48
FULL,1039,4100,0.1042,97689.525385,12,162.19,13.48
FULL,1039,4200,0.1042,97674.586339,12,162.08,13.48
FULL,1039,4300,0.1042,97624.921542,12,161.96,13.48
FULL,1039,4400,0.1042,97538.332476,12,161.85,13.48
FULL,1039,4500,0.1042,97412.630564,12,161.73,13.48
FULL,1039,4600,0.1042,97245.655012,12,161.61,13.48
FULL,1039,4700,0.1042,97035.292115,12,161.50,13.48
FULL,1039,4800,0.1042,96779.496082,12,161.38,13.48
FULL,1039,4900,0.1042,96476.310947,12,161.27,13.48
FULL,1039,5000,0.1041,96123.893520,12,161.16,13.48
FULL,1039,5100,0.1041,95720.537002,12,161.04,13.48
FULL,1039,5200,0.1041,95264.694898,12,160.93,13.48
FULL,1039,5300,0.1041,94755.004895,12,160.81,13.48
FULL,1039,5400,0.1041,94190.312226,12,160.70,13.48
FULL,1039,5500,0.1041,93569.692074,12,160.58,13.48
FULL,1039,5600,0.1041,92892.470535,12,160.47,13.48
FULL,1039,5700,0.1041,92158.243580,12,160.35,13.48
FULL,1039,5800,0.1041,91366.893662,12,160.24,13.48
FULL,1039,5900,0.1040,90518.603303,12,160.13,13.48
FULL,1039,6000,0.1040,89613.865432,12,160.01,13.48
FULL,1039,6100,0.1040,88653.489933,12,159.90,13.48
FULL,1039,6200,0.1040,87638.606263,12,159.79,13.48
FULL,1039,6300,0.1040,86570.661738,12,159.67,13.48
FULL,1039,6400,0.1040,85451.415585,12,159.56,13.48
FULL,1039,6500,0.1040,84282.928548,12,159.45,13.48
FULL,1039,6600,0.1040,83067.548314,12,159.33,13.48
FULL,1039,6700,0.1039,81807.890892,12,159.22,13.48
FULL,1039,6800,0.1039,80506.818258,12,159.11,13.48
FULL,1039,6900,0.1039,79167.412732,12,159.00,13.48
FULL,1039,7000,0.1039,77792.948548,12,158.88,13.48
FULL,1039,7100,0.1039,76386.861206,12,158.77,13.48
FULL,1039,7200,0.1039,74952.715189,12,158.66,13.48
FULL,1039,7300,0.1039,73494.170748,12,158.55,13.48
FULL,1039,7400,0.1038,72014.950313,12,158.44,13.48
FULL,1039,7500,0.1038,70518.805244,12,158.32,13.48
FULL,1039,7600,0.1038,69009.483471,12,158.21,13.48
FULL,1039,7700,0.1038,67490.698560,12,158.10,13.48
FULL,1039,7800,0.1038,65966.100730,12,157.99,13.48
FULL,1039,7900,0.1038,64439.250160,12,157.88,13.48
FULL,1039,8000,0.1037,62913.592966,12,157.77,13.48
FULL,1039,8100,0.1037,61392.440027,12,157.66,13.48
FULL,1039,8200,0.1037,59878.948847,12,157.55,13.48
FULL,1039,8300,0.1037,58376.108506,12,157.44,13.48
FULL,1039,8400,0.1037,56886.727674,12,157.33,13.48
FULL,1039,8500,0.1036,55413.425638,12,157.22,13.48
FULL,1039,8600,0.1036,53958.626185,12,157.11,13.48
FULL,1039,8700,0.1036,52524.554174,12,157.00,13.48
FULL,1039,8800,0.1036,51113.234549,12,156.89,13.48
FULL,1039,8900,0.1036,49726.493596,12,156.78,13.48
FULL,1039,9000,0.1035,48365.962120,12,156.67,13.48
FULL,1039,9100,0.1035,47033.080335,12,156.56,13.48
FULL,1039,9200,0.1035,45729.104148,12,156.45,13.48
FULL,1039,9300,0.1035,44455.112603,12,156.35,13.48
FULL,1039,9400,0.1034,43212.016240,12,156.24,13.48
FULL,1039,9500,0.1034,42000.566123,12,156.13,13.48
FULL,1039,9600,0.1034,40821.363341,12,156.02,13.48
FULL,1039,9700,0.1034,39674.868792,12,155.92,13.48
FULL,1039,9800,0.1033,38561.413077,12,155.81,13.48
FULL,1039,9900,0.1033,37481.206389,12,155.70,13.48
FULL,2036,0,0.0961,0.104830,12,200.00,12.52
FULL,2036,100,0.1190,34304.125376,12,199.85,9.82
FULL,2036,200,0.1189,34389.177813,12,199.50,9.84
FULL,2036,300,0.1189,34475.856077,12,199.14,9.88
FULL,2036,400,0.1189,34564.117289,12,198.79,9.96
FULL,2036,500,0.1188,34653.902704,12,198.43,10.05
FULL,2036,600,0.1188,34745.145778,12,198.08,10.17
FULL,2036,700,0.1187,34837.771497,12,197.73,10.31
FULL,2036,800,0.1192,33640.964998,12,197.37,10.45
FULL,2036,900,0.1183,34619.365752,12,197.02,11.88
FULL,2036,1000,0.1076,1007.629652,12,165.49,13.60
FULL,2036,1100,0.1064,7871.062705,12,165.32,11.71
FULL,2036,1200,0.1053,213.849388,12,164.94,11.44
FULL,2036,1300,0.0951,129.313092,12,133.74,10.91
FULL,2036,1400,0.0972,1854.665397,12,134.30,10.77
FULL,2036,1500,0.0976,2275.224069,12,134.85,10.78
FULL,2036,1600,0.0981,2435.919151,12,135.39,10.79
FULL,2036,1700,0.0985,2652.450441,12,135.93,10.79
FULL,2036,1800,0.0989,2936.327041,12,136.46,10.79
FULL,2036,1900,0.0992,3298.142563,12,137.00,10.79
FULL,2036,2000,0.0995,3749.569876,12,137.52,10.79
FULL,2036,2100,0.0997,4302.496891,12,138.05,10.79
FULL,2036,2200,0.1000,4967.762585,12,138.57,10.79
FULL,2036,2300,0.1002,5753.531687,12,139.10,10.79
FULL,2036,2400,0.1003,6663.435514,12,139.62,10.79
FULL,2036,2500,0.1005,7694.678726,12,140.13,10.79
FULL,2036,2600,0.1006,8836.356671,12,140.65,10.79
FULL,2036,2700,0.1007,10068.272172,12,141.17,10.79
FULL,2036,2800,0.1008,11360.619107,12,141.68,10.79
FULL,2036,2900,0.1009,12674.982808,12,142.19,10.79
FULL,2036,3000,0.1010,13967.053928,12,142.71,10.79
FULL,2036,3100,0.1011,15191.094326,12,143.22,10.79
FULL,2036,3200,0.1011,16305.529478,12,143.73,10.79
FULL,2036,3300,0.1012,17278.373896,12,144.24,10.79
FULL,2036,3400,0.1012,18090.987497,12,144.75,10.79
FULL,2036,3500,0.1013,18739.158079,12,145.26,10.79
FULL,2036,3600,0.1014,19231.473751,12,145.77,10.79
FULL,2036,3700,0.1014,19585.837409,12,146.28,10.79
FULL,2036,3800,0.1015,19825.349962,12,146.79,10.79
FULL,2036,3900,0.1015,19974.610035,12,147.29,10.79
FULL,2036,4000,0.1016,20057.007312,12,147.80,10.79
FULL,2036,4100,0.1016,20093.124227,12,148.31,10.79
FULL,2036,4200,0.1017,20100.068104,12,148.81,10.79
FULL,2036,4300,0.1017,20091.446924,12,149.32,10.76
FULL,2036,4400,0.1018,20077.715367,12,149.82,10.84
FULL,2036,4500,0.1018,N/A,12,150.05,10.90
FULL,2036,4600,0.1018,N/A,12,150.05,10.88
FULL,2036,4700,0.1018,N/A,12,150.05,10.88
FULL,2036,4800,0.1018,N/A,12,150.05,10.87
FULL,2036,4900,0.1018,N/A,12,150.05,10.87
FULL,2036,5000,0.1018,N/A,12,150.05,10.87
FULL,2036,5100,0.1018,N/A,12,150.05,10.87
FULL,2036,5200,0.1018,N/A,12,150.05,10.87
FULL,2036,5300,0.1018,N/A,12,150.05,10.87
FULL,2036,5400,0.1018,N/A,12,150.05,10.87
FULL,2036,5500,0.1018,N/A,12,150.05,10.87
FULL,2036,5600,0.1018,N/A,12,150.05,10.87
FULL,2036,5700,0.1018,N/A,12,150.05,10.87
FULL,2036,5800,0.1018,N/A,12,150.05,10.87
FULL,2036,5900,0.1018,N/A,12,150.05,10.87
FULL,2036,6000,0.1018,N/A,12,150.05,10.87
FULL,2036,6100,0.1018,N/A,12,150.05,10.87
FULL,2036,6200,0.1018,N/A,12,150.05,10.87
FULL,2036,6300,0.1018,N/A,12,150.05,10.87
FULL,2036,6400,0.1018,N/A,12,150.05,10.87
FULL,2036,6500,0.1018,N/A,12,150.05,10.87
FULL,2036,6600,0.1018,N/A,12,150.05,10.87
FULL,2036,6700,0.1018,N/A,12,150.05,10.87
FULL,2036,6800,0.1018,N/A,12,150.05,10.87
FULL,2036,6900,0.1018,N/A,12,150.05,10.87
FULL,2036,7000,0.1018,N/A,12,150.05,10.87
FULL,2036,7100,0.1018,N/A,12,150.05,10.87
FULL,2036,7200,0.1018,N/A,12,150.05,10.87
FULL,2036,7300,0.1018,N/A,12,150.05,10.87
FULL,2036,7400,0.1018,N/A,12,150.05,10.87
FULL,2036,7500,0.1018,N/A,12,150.05,10.87
FULL,2036,7600,0.1018,N/A,12,150.05,10.87
FULL,2036,7700,0.1018,N/A,12,150.05,10.87
FULL,2036,7800,0.1018,N/A,12,150.05,10.87
FULL,2036,7900,0.1018,N/A,12,150.05,10.87
FULL,2036,8000,0.1018,N/A,12,150.05,10.87
FULL,2036,8100,0.1018,N/A,12,150.05,10.87
FULL,2036,8200,0.1018,N/A,12,150.05,10.87
FULL,2036,8300,0.1018,N/A,12,150.05,10.87
FULL,2036,8400,0.1018,N/A,12,150.05,10.87
FULL,2036,8500,0.1018,N/A,12,150.05,10.87
FULL,2036,8600,0.1018,N/A,12,150.05,10.87
FULL,2036,8700,0.1018,N/A,12,150.05,10.87
FULL,2036,8800,0.1018,N/A,12,150.05,10.87
FULL,2036,8900,0.1018,N/A,12,150.05,10.87
FULL,2036,9000,0.1018,N/A,12,150.05,10.87
FULL,2036,9100,0.1018,N/A,12,150.05,10.87
FULL,2036,9200,0.1018,N/A,12,150.05,10.87
FULL,2036,9300,0.1018,N/A,12,150.05,10.87
FULL,2036,9400,0.1018,N/A,12,150.05,10.87
FULL,2036,9500,0.1018,N/A,12,150.05,10.87
FULL,2036,9600,0.1018,N/A,12,150.05,10.87
FULL,2036,9700,0.1018,N/A,12,150.05,10.87
FULL,2036,9800,0.1018,N/A,12,150.05,10.87
FULL,2036,9900,0.1018,N/A,12,150.05,10.87
FULL,3033,0,0.0963,0.104830,12,200.00,10.87
FULL,3033,100,0.1115,101109.462678,12,199.92,13.63
FULL,3033,200,0.1114,49152.063057,12,199.71,13.65
FULL,3033,300,0.1114,35087.867051,12,199.42,13.67
FULL,3033,400,0.1114,35176.977429,12,199.09,13.72
FULL,3033,500,0.1114,35267.636942,12,198.75,13.77
FULL,3033,600,0.1113,35359.817183,12,198.42,13.84
FULL,3033,700,0.1120,35185.701848,12,198.08,13.24
FULL,3033,800,0.1120,35281.082765,12,197.75,13.42
FULL,3033,900,0.1120,35377.835357,12,197.41,13.54
FULL,3033,1000,0.1011,785.682900,12,165.93,15.39
FULL,3033,1100,0.1051,2573.545044,12,165.81,14.96
FULL,3033,1200,0.1055,74140.245854,12,165.69,16.59
FULL,3033,1300,0.1050,83657.440156,12,165.57,17.13
FULL,3033,1400,0.1035,90429.062598,12,165.45,16.72
FULL,3033,1500,0.1035,90717.468773,12,165.33,16.47
FULL,3033,1600,0.1035,91008.034857,12,165.22,16.37
FULL,3033,1700,0.1035,91300.316798,12,165.10,16.33
FULL,3033,1800,0.1034,91593.825658,12,164.98,16.31
FULL,3033,1900,0.1034,91888.024585,12,164.86,16.31
FULL,3033,2000,0.1034,92182.325718,12,164.74,16.30
FULL,3033,2100,0.1034,92476.087043,12,164.62,16.30
FULL,3033,2200,0.1034,92768.609174,12,164.50,16.30
FULL,3033,2300,0.1034,93059.132173,12,164.39,16.30
FULL,3033,2400,0.1034,93346.832366,12,164.27,16.30
FULL,3033,2500,0.1034,93630.819218,12,164.15,16.30
FULL,3033,2600,0.1034,93910.132338,12,164.03,16.30
FULL,3033,2700,0.1033,94183.738606,12,163.92,16.30
FULL,3033,2800,0.1033,94450.529528,12,163.80,16.30
FULL,3033,2900,0.1033,94709.318880,12,163.68,16.30
FULL,3033,3000,0.1033,94958.840664,12,163.56,16.30
FULL,3033,3100,0.1033,95197.747515,12,163.45,16.30
FULL,3033,3200,0.1033,95424.609638,12,163.33,16.30
FULL,3033,3300,0.1033,95637.914315,12,163.21,16.30
FULL,3033,3400,0.1033,95836.066140,12,163.10,16.30
FULL,3033,3500,0.1033,96017.388076,12,162.98,16.30
FULL,3033,3600,0.1032,96180.123436,12,162.86,16.30
FULL,3033,3700,0.1032,96322.438886,12,162.75,16.30
FULL,3033,3800,0.1032,96442.428605,12,162.63,16.30
FULL,3033,3900,0.1032,96538.119753,12,162.51,16.30
FULL,3033,4000,0.1032,96607.479249,12,162.40,16.30
FULL,3033,4100,0.1032,96648.422024,12,162.28,16.30
FULL,3033,4200,0.1032,96658.820901,12,162.17,16.30
FULL,3033,4300,0.1032,96636.517971,12,162.05,16.30
FULL,3033,4400,0.1032,96579.337754,12,161.94,16.30
FULL,3033,4500,0.1031,96485.101934,12,161.82,16.30
FULL,3033,4600,0.1031,96351.645823,12,161.70,16.30
FULL,3033,4700,0.1031,96176.836360,12,161.59,16.30
FULL,3033,4800,0.1031,95958.591679,12,161.47,16.30
FULL,3033,4900,0.1031,95694.901975,12,161.36,16.30
FULL,3033,5000,0.1031,95383.851519,12,161.24,16.30
FULL,3033,5100,0.1031,95023.641621,12,161.13,16.30
FULL,3033,5200,0.1031,94612.614125,12,161.01,16.30
FULL,3033,5300,0.1030,94149.275201,12,160.90,16.30
FULL,3033,5400,0.1030,93632.318958,12,160.79,16.30
FULL,3033,5500,0.1030,93060.650430,12,160.67,16.30
FULL,3033,5600,0.1030,92433.407565,12,160.56,16.30
FULL,3033,5700,0.1030,91749.981577,12,160.44,16.30
FULL,3033,5800,0.1030,91010.035342,12,160.33,16.30
FULL,3033,5900,0.1030,90213.519149,12,160.21,16.30
FULL,3033,6000,0.1030,89360.683567,12,160.10,16.30
FULL,3033,6100,0.1030,88452.088812,12,159.99,16.30
FULL,3033,6200,0.1029,87488.610418,12,159.87,16.30
FULL,3033,6300,0.1029,86471.440834,12,159.76,16.30
FULL,3033,6400,0.1029,85402.086769,12,159.65,16.30
FULL,3033,6500,0.1029,84282.362273,12,159.53,16.30
FULL,3033,6600,0.1029,83114.377450,12,159.42,16.30
FULL,3033,6700,0.1029,81900.523041,12,159.31,16.30
FULL,3033,6800,0.1029,80643.451035,12,159.20,16.30
FULL,3033,6900,0.1029,79346.051704,12,159.08,16.30
FULL,3033,7000,0.1028,78011.427478,12,158.97,16.30
FULL,3033,7100,0.1028,76642.864156,12,158.86,16.30
FULL,3033,7200,0.1028,75243.800053,12,158.75,16.30
FULL,3033,7300,0.1028,73817.793710,12,158.63,16.30
FULL,3033,7400,0.1028,72368.490749,12,158.52,16.30
FULL,3033,7500,0.1028,70899.590599,12,158.41,16.30
FULL,3033,7600,0.1027,69414.813644,12,158.30,16.30
FULL,3033,7700,0.1027,67917.869397,12,158.19,16.30
FULL,3033,7800,0.1027,66412.426236,12,158.08,16.30
FULL,3033,7900,0.1027,64902.083136,12,157.96,16.30
FULL,3033,8000,0.1027,63390.343807,12,157.85,16.30
FULL,3033,8100,0.1027,61880.593501,12,157.74,16.30
FULL,3033,8200,0.1026,60376.078721,12,157.63,16.30
FULL,3033,8300,0.1026,58879.889969,12,157.52,16.30
FULL,3033,8400,0.1026,57394.947524,12,157.41,16.30
FULL,3033,8500,0.1026,55923.990316,12,157.30,16.30
FULL,3033,8600,0.1026,54469.567703,12,157.19,16.30
FULL,3033,8700,0.1026,53034.034075,12,157.08,16.30
FULL,3033,8800,0.1025,51619.546070,12,156.97,16.30
FULL,3033,8900,0.1025,50228.062158,12,156.86,16.30
FULL,3033,9000,0.1025,48861.344390,12,156.75,16.30
FULL,3033,9100,0.1025,47520.961982,12,156.64,16.30
FULL,3033,9200,0.1024,46208.296547,12,156.54,16.30
FULL,3033,9300,0.1024,44924.548626,12,156.43,16.30
FULL,3033,9400,0.1024,43670.745338,12,156.32,16.30
FULL,3033,9500,0.1024,42447.748848,12,156.21,16.30
FULL,3033,9600,0.1023,41256.265471,12,156.10,16.30
FULL,3033,9700,0.1023,40096.855182,12,156.00,16.30
FULL,3033,9800,0.1023,38969.941368,12,155.89,16.30
FULL,3033,9900,0.1023,37875.820662,12,155.78,16.30
FULL,4030,0,0.0980,0.104910,12,200.00,12.74
FULL,4030,100,0.1099,92.479678,12,167.91,9.30
FULL,4030,200,0.1133,974.022323,12,169.87,8.99
FULL,4030,300,0.1137,2572.031312,12,170.13,9.12
FULL,4030,400,0.1139,2799.623282,12,170.34,9.12
FULL,4030,500,0.1142,3074.411223,12,170.55,9.11
FULL,4030,600,0.1143,3396.409116,12,170.76,8.69
FULL,4030,700,0.1145,3762.971682,12,170.97,7.26
FULL,4030,800,0.1149,4175.919327,12,171.17,6.47
FULL,4030,900,0.1146,4489.764353,12,171.37,5.68
FULL,4030,1000,0.1031,254.163613,12,138.35,4.91
FULL,4030,1100,0.1041,4531.846803,12,138.88,4.58
FULL,4030,1200,0.1043,6520.445282,12,139.40,4.51
FULL,4030,1300,0.1045,7554.013134,12,139.92,4.49
FULL,4030,1400,0.1046,8697.659505,12,140.43,4.49
FULL,4030,1500,0.1047,9945.416975,12,140.95,4.49
FULL,4030,1600,0.1048,11270.338714,12,141.47,4.49
FULL,4030,1700,0.1049,12635.859437,12,141.98,4.49
FULL,4030,1800,0.1050,13997.847365,12,142.49,4.49
FULL,4030,1900,0.1051,15308.539186,12,143.01,4.49
FULL,4030,2000,0.1052,16522.019512,12,143.52,4.49
FULL,4030,2100,0.1052,17600.152929,12,144.03,4.49
FULL,4030,2200,0.1053,18517.404482,12,144.54,4.49
FULL,4030,2300,0.1053,19263.196721,12,145.05,4.49
FULL,4030,2400,0.1054,19841.319808,12,145.56,4.49
FULL,4030,2500,0.1055,20266.947398,12,146.07,4.49
FULL,4030,2600,0.1055,20562.455925,12,146.58,4.49
FULL,4030,2700,0.1056,20753.276463,12,147.09,4.49
FULL,4030,2800,0.1056,20864.600533,12,147.59,4.49
FULL,4030,2900,0.1057,20919.243480,12,148.10,4.49
FULL,4030,3000,0.1057,20936.580382,12,148.61,4.49
FULL,4030,3100,0.1058,20932.281665,12,149.11,4.49
FULL,4030,3200,0.1058,20918.546339,12,149.62,4.40
FULL,4030,3300,0.1059,14208006530.377918,12,150.05,4.41
FULL,4030,3400,0.1059,N/A,12,150.05,4.38
FULL,4030,3500,0.1059,N/A,12,150.05,4.37
FULL,4030,3600,0.1059,N/A,12,150.05,4.37
FULL,4030,3700,0.1059,N/A,12,150.05,4.37
FULL,4030,3800,0.1059,N/A,12,150.05,4.37
FULL,4030,3900,0.1059,N/A,12,150.05,4.37
FULL,4030,4000,0.1059,N/A,12,150.05,4.37
FULL,4030,4100,0.1059,N/A,12,150.05,4.37
FULL,4030,4200,0.1059,N/A,12,150.05,4.37
FULL,4030,4300,0.1059,N/A,12,150.05,4.37
FULL,4030,4400,0.1059,N/A,12,150.05,4.37
FULL,4030,4500,0.1059,N/A,12,150.05,4.37
FULL,4030,4600,0.1059,N/A,12,150.05,4.37
FULL,4030,4700,0.1059,N/A,12,150.05,4.37
FULL,4030,4800,0.1059,N/A,12,150.05,4.37
FULL,4030,4900,0.1059,N/A,12,150.05,4.37
FULL,4030,5000,0.1059,N/A,12,150.05,4.37
FULL,4030,5100,0.1059,N/A,12,150.05,4.37
FULL,4030,5200,0.1059,N/A,12,150.05,4.37
FULL,4030,5300,0.1059,N/A,12,150.05,4.37
FULL,4030,5400,0.1059,N/A,12,150.05,4.37
FULL,4030,5500,0.1059,N/A,12,150.05,4.37
FULL,4030,5600,0.1059,N/A,12,150.05,4.37
FULL,4030,5700,0.1059,N/A,12,150.05,4.37
FULL,4030,5800,0.1059,N/A,12,150.05,4.37
FULL,4030,5900,0.1059,N/A,12,150.05,4.37
FULL,4030,6000,0.1059,N/A,12,150.05,4.37
FULL,4030,6100,0.1059,N/A,12,150.05,4.37
